Connected to mysqlserver
RELCAPITAL 2018-04-01 2018-04-30
RELCAPITAL 2018-05-01 2018-05-30
RELCAPITAL 2018-05-31 2018-05-31
RELCAPITAL 2018-06-01 2018-06-30
RELIANCE 2018-01-01 2018-01-30
RELIANCE 2018-02-01 2018-02-28
RELIANCE 2018-03-01 2018-03-30
RELIANCE 2018-03-31 2018-03-31
RELIANCE 2018-04-01 2018-04-30
RELIANCE 2018-05-01 2018-05-30
RELIANCE 2018-05-31 2018-05-31
RELIANCE 2018-06-01 2018-06-30
RELINFRA 2018-01-01 2018-01-30
RELINFRA 2018-02-01 2018-02-28
RELINFRA 2018-03-01 2018-03-30
RELINFRA 2018-03-31 2018-03-31
RELINFRA 2018-04-01 2018-04-30
Commited candles: 7200000
RELINFRA 2018-05-01 2018-05-30
RELINFRA 2018-05-31 2018-05-31
RELINFRA 2018-06-01 2018-06-30
REPCOHOME 2018-01-01 2018-01-30
REPCOHOME 2018-02-01 2018-02-28
REPCOHOME 2018-03-01 2018-03-30
REPCOHOME 2018-03-31 2018-03-31
REPCOHOME 2018-04-01 2018-04-30
REPCOHOME 2018-05-01 2018-05-30
REPCOHOME 2018-05-31 2018-05-31
REPCOHOME 2018-06-01 2018-06-30
RNAVAL 2018-01-01 2018-01-30
RNAVAL 2018-02-01 2018-02-28
RNAVAL 2018-03-01 2018-03-30
RNAVAL 2018-03-31 2018-03-31
RNAVAL 2018-04-01 2018-04-30
RNAVAL 2018-05-01 2018-05-30
RNAVAL 2018-05-31 2018-05-31
RNAVAL 2018-06-01 2018-06-30
RPOWER 2018-01-01 2018-01-30
RPOWER 2018-02-01 2018-02-28
RPOWER 2018-03-01 2018-03-30
RPOWER 2018-03-31 2018-03-31
RPOWER 2018-04-01 2018-04-30
RPOWER 2018-05-01 2018-05-30
RPOWER 2018-05-31 2018-05-31
RPOWER 2018-06-01 2018-06-30
Commited candles: 7350000
SAIL 2018-01-01 2018-01-30
SAIL 2018-02-01 2018-02-28
SAIL 2018-03-01 2018-03-30
SAIL 2018-03-31 2018-03-31
SAIL 2018-04-01 2018-04-30
SAIL 2018-05-01 2018-05-30
SAIL 2018-05-31 2018-05-31
SAIL 2018-06-01 2018-06-30
SBIN 2018-01-01 2018-01-30
SBIN 2018-02-01 2018-02-28
SBIN 2018-03-01 2018-03-30
SBIN 2018-03-31 2018-03-31
SBIN 2018-04-01 2018-04-30
SBIN 2018-05-01 2018-05-30
SBIN 2018-05-31 2018-05-31
SBIN 2018-06-01 2018-06-30
SHREECEM 2018-01-01 2018-01-30
SHREECEM 2018-02-01 2018-02-28
SHREECEM 2018-03-01 2018-03-30
SHREECEM 2018-03-31 2018-03-31
SHREECEM 2018-04-01 2018-04-30
SHREECEM 2018-05-01 2018-05-30
SHREECEM 2018-05-31 2018-05-31
SHREECEM 2018-06-01 2018-06-30
SIEMENS 2018-01-01 2018-01-30
SIEMENS 2018-02-01 2018-02-28
SIEMENS 2018-03-01 2018-03-30
Commited candles: 7500000
SIEMENS 2018-03-31 2018-03-31
SIEMENS 2018-04-01 2018-04-30
SIEMENS 2018-05-01 2018-05-30
SIEMENS 2018-05-31 2018-05-31
SIEMENS 2018-06-01 2018-06-30
SOUTHBANK 2018-01-01 2018-01-30
SOUTHBANK 2018-02-01 2018-02-28
SOUTHBANK 2018-03-01 2018-03-30
SOUTHBANK 2018-03-31 2018-03-31
SOUTHBANK 2018-04-01 2018-04-30
SOUTHBANK 2018-05-01 2018-05-30
SOUTHBANK 2018-05-31 2018-05-31
SOUTHBANK 2018-06-01 2018-06-30
SREINFRA 2018-01-01 2018-01-30
SREINFRA 2018-02-01 2018-02-28
SREINFRA 2018-03-01 2018-03-30
SREINFRA 2018-03-31 2018-03-31
SREINFRA 2018-04-01 2018-04-30
SREINFRA 2018-05-01 2018-05-30
SREINFRA 2018-05-31 2018-05-31
SREINFRA 2018-06-01 2018-06-30
SRF 2018-01-01 2018-01-30
SRF 2018-02-01 2018-02-28
SRF 2018-03-01 2018-03-30
SRF 2018-03-31 2018-03-31
SRF 2018-04-01 2018-04-30
SRF 2018-05-01 2018-05-30
Commited candles: 7650000
SRF 2018-05-31 2018-05-31
SRF 2018-06-01 2018-06-30
SRTRANSFIN 2018-01-01 2018-01-30
SRTRANSFIN 2018-02-01 2018-02-28
SRTRANSFIN 2018-03-01 2018-03-30
SRTRANSFIN 2018-03-31 2018-03-31
SRTRANSFIN 2018-04-01 2018-04-30
SRTRANSFIN 2018-05-01 2018-05-30
SRTRANSFIN 2018-05-31 2018-05-31
SRTRANSFIN 2018-06-01 2018-06-30
STAR 2018-01-01 2018-01-30
STAR 2018-02-01 2018-02-28
STAR 2018-03-01 2018-03-30
STAR 2018-03-31 2018-03-31
STAR 2018-04-01 2018-04-30
STAR 2018-05-01 2018-05-30
STAR 2018-05-31 2018-05-31
STAR 2018-06-01 2018-06-30
SUNPHARMA 2018-01-01 2018-01-30
SUNPHARMA 2018-02-01 2018-02-28
SUNPHARMA 2018-03-01 2018-03-30
SUNPHARMA 2018-03-31 2018-03-31
SUNPHARMA 2018-04-01 2018-04-30
SUNPHARMA 2018-05-01 2018-05-30
SUNPHARMA 2018-05-31 2018-05-31
SUNPHARMA 2018-06-01 2018-06-30
SUNTV 2018-01-01 2018-01-30
SUNTV 2018-02-01 2018-02-28
Commited candles: 7800000
SUNTV 2018-03-01 2018-03-30
SUNTV 2018-03-31 2018-03-31
SUNTV 2018-04-01 2018-04-30
SUNTV 2018-05-01 2018-05-30
SUNTV 2018-05-31 2018-05-31
SUNTV 2018-06-01 2018-06-30
SUZLON 2018-01-01 2018-01-30
SUZLON 2018-02-01 2018-02-28
SUZLON 2018-03-01 2018-03-30
SUZLON 2018-03-31 2018-03-31
SUZLON 2018-04-01 2018-04-30
SUZLON 2018-05-01 2018-05-30
SUZLON 2018-05-31 2018-05-31
SUZLON 2018-06-01 2018-06-30
SYNDIBANK 2018-01-01 2018-01-30
SYNDIBANK 2018-02-01 2018-02-28
SYNDIBANK 2018-03-01 2018-03-30
SYNDIBANK 2018-03-31 2018-03-31
SYNDIBANK 2018-04-01 2018-04-30
SYNDIBANK 2018-05-01 2018-05-30
SYNDIBANK 2018-05-31 2018-05-31
SYNDIBANK 2018-06-01 2018-06-30
TATACHEM 2018-01-01 2018-01-30
TATACHEM 2018-02-01 2018-02-28
TATACHEM 2018-03-01 2018-03-30
TATACHEM 2018-03-31 2018-03-31
TATACHEM 2018-04-01 2018-04-30
TATACHEM 2018-05-01 2018-05-30
Commited candles: 7950000
TATACHEM 2018-05-31 2018-05-31
TATACHEM 2018-06-01 2018-06-30
TATACOMM 2018-01-01 2018-01-30
TATACOMM 2018-02-01 2018-02-28
TATACOMM 2018-03-01 2018-03-30
TATACOMM 2018-03-31 2018-03-31
TATACOMM 2018-04-01 2018-04-30
TATACOMM 2018-05-01 2018-05-30
TATACOMM 2018-05-31 2018-05-31
TATACOMM 2018-06-01 2018-06-30
TATAELXSI 2018-01-01 2018-01-30
TATAELXSI 2018-02-01 2018-02-28
TATAELXSI 2018-03-01 2018-03-30
TATAELXSI 2018-03-31 2018-03-31
TATAELXSI 2018-04-01 2018-04-30
TATAELXSI 2018-05-01 2018-05-30
TATAELXSI 2018-05-31 2018-05-31
TATAELXSI 2018-06-01 2018-06-30
TATAGLOBAL 2018-01-01 2018-01-30
TATAGLOBAL 2018-02-01 2018-02-28
TATAGLOBAL 2018-03-01 2018-03-30
TATAGLOBAL 2018-03-31 2018-03-31
TATAGLOBAL 2018-04-01 2018-04-30
TATAGLOBAL 2018-05-01 2018-05-30
TATAGLOBAL 2018-05-31 2018-05-31
TATAGLOBAL 2018-06-01 2018-06-30
TATAMOTORS 2018-01-01 2018-01-30
TATAMOTORS 2018-02-01 2018-02-28
Commited candles: 8100000
TATAMOTORS 2018-03-01 2018-03-30
TATAMOTORS 2018-03-31 2018-03-31
TATAMOTORS 2018-04-01 2018-04-30
TATAMOTORS 2018-05-01 2018-05-30
TATAMOTORS 2018-05-31 2018-05-31
TATAMOTORS 2018-06-01 2018-06-30
TATAMTRDVR 2018-01-01 2018-01-30
TATAMTRDVR 2018-02-01 2018-02-28
TATAMTRDVR 2018-03-01 2018-03-30
TATAMTRDVR 2018-03-31 2018-03-31
TATAMTRDVR 2018-04-01 2018-04-30
TATAMTRDVR 2018-05-01 2018-05-30
TATAMTRDVR 2018-05-31 2018-05-31
TATAMTRDVR 2018-06-01 2018-06-30
TATAPOWER 2018-01-01 2018-01-30
TATAPOWER 2018-02-01 2018-02-28
TATAPOWER 2018-03-01 2018-03-30
TATAPOWER 2018-03-31 2018-03-31
TATAPOWER 2018-04-01 2018-04-30
TATAPOWER 2018-05-01 2018-05-30
TATAPOWER 2018-05-31 2018-05-31
TATAPOWER 2018-06-01 2018-06-30
TATASTEEL 2018-01-01 2018-01-30
TATASTEEL 2018-02-01 2018-02-28
TATASTEEL 2018-03-01 2018-03-30
TATASTEEL 2018-03-31 2018-03-31
TATASTEEL 2018-04-01 2018-04-30
Commited candles: 8250000
TATASTEEL 2018-05-01 2018-05-30
TATASTEEL 2018-05-31 2018-05-31
TATASTEEL 2018-06-01 2018-06-30
TCS 2018-01-01 2018-01-30
TCS 2018-02-01 2018-02-28
TCS 2018-03-01 2018-03-30
TCS 2018-03-31 2018-03-31
TCS 2018-04-01 2018-04-30
TCS 2018-05-01 2018-05-30
TCS 2018-05-31 2018-05-31
TCS 2018-06-01 2018-06-30
TECHM 2018-01-01 2018-01-30
TECHM 2018-02-01 2018-02-28
TECHM 2018-03-01 2018-03-30
TECHM 2018-03-31 2018-03-31
TECHM 2018-04-01 2018-04-30
TECHM 2018-05-01 2018-05-30
TECHM 2018-05-31 2018-05-31
TECHM 2018-06-01 2018-06-30
TITAN 2018-01-01 2018-01-30
TITAN 2018-02-01 2018-02-28
TITAN 2018-03-01 2018-03-30
TITAN 2018-03-31 2018-03-31
TITAN 2018-04-01 2018-04-30
TITAN 2018-05-01 2018-05-30
TITAN 2018-05-31 2018-05-31
TITAN 2018-06-01 2018-06-30
TORNTPHARM 2018-01-01 2018-01-30
Commited candles: 8400000
TORNTPHARM 2018-02-01 2018-02-28
TORNTPHARM 2018-03-01 2018-03-30
TORNTPHARM 2018-03-31 2018-03-31
TORNTPHARM 2018-04-01 2018-04-30
TORNTPHARM 2018-05-01 2018-05-30
TORNTPHARM 2018-05-31 2018-05-31
TORNTPHARM 2018-06-01 2018-06-30
TORNTPOWER 2018-01-01 2018-01-30
TORNTPOWER 2018-02-01 2018-02-28
TORNTPOWER 2018-03-01 2018-03-30
TORNTPOWER 2018-03-31 2018-03-31
TORNTPOWER 2018-04-01 2018-04-30
TORNTPOWER 2018-05-01 2018-05-30
TORNTPOWER 2018-05-31 2018-05-31
TORNTPOWER 2018-06-01 2018-06-30
TV18BRDCST 2018-01-01 2018-01-30
TV18BRDCST 2018-02-01 2018-02-28
TV18BRDCST 2018-03-01 2018-03-30
TV18BRDCST 2018-03-31 2018-03-31
TV18BRDCST 2018-04-01 2018-04-30
TV18BRDCST 2018-05-01 2018-05-30
TV18BRDCST 2018-05-31 2018-05-31
TV18BRDCST 2018-06-01 2018-06-30
TVSMOTOR 2018-01-01 2018-01-30
TVSMOTOR 2018-02-01 2018-02-28
TVSMOTOR 2018-03-01 2018-03-30
TVSMOTOR 2018-03-31 2018-03-31
TVSMOTOR 2018-04-01 2018-04-30
Commited candles: 8550000
TVSMOTOR 2018-05-01 2018-05-30
TVSMOTOR 2018-05-31 2018-05-31
TVSMOTOR 2018-06-01 2018-06-30
UBL 2018-01-01 2018-01-30
UBL 2018-02-01 2018-02-28
UBL 2018-03-01 2018-03-30
UBL 2018-03-31 2018-03-31
UBL 2018-04-01 2018-04-30
UBL 2018-05-01 2018-05-30
UBL 2018-05-31 2018-05-31
UBL 2018-06-01 2018-06-30
UJJIVAN 2018-01-01 2018-01-30
UJJIVAN 2018-02-01 2018-02-28
UJJIVAN 2018-03-01 2018-03-30
UJJIVAN 2018-03-31 2018-03-31
UJJIVAN 2018-04-01 2018-04-30
UJJIVAN 2018-05-01 2018-05-30
UJJIVAN 2018-05-31 2018-05-31
UJJIVAN 2018-06-01 2018-06-30
ULTRACEMCO 2018-01-01 2018-01-30
ULTRACEMCO 2018-02-01 2018-02-28
ULTRACEMCO 2018-03-01 2018-03-30
ULTRACEMCO 2018-03-31 2018-03-31
ULTRACEMCO 2018-04-01 2018-04-30
ULTRACEMCO 2018-05-01 2018-05-30
ULTRACEMCO 2018-05-31 2018-05-31
ULTRACEMCO 2018-06-01 2018-06-30
UNIONBANK 2018-01-01 2018-01-30
Commited candles: 8700000
UNIONBANK 2018-02-01 2018-02-28
UNIONBANK 2018-03-01 2018-03-30
UNIONBANK 2018-03-31 2018-03-31
UNIONBANK 2018-04-01 2018-04-30
UNIONBANK 2018-05-01 2018-05-30
UNIONBANK 2018-05-31 2018-05-31
UNIONBANK 2018-06-01 2018-06-30
UPL 2018-01-01 2018-01-30
UPL 2018-02-01 2018-02-28
UPL 2018-03-01 2018-03-30
UPL 2018-03-31 2018-03-31
UPL 2018-04-01 2018-04-30
UPL 2018-05-01 2018-05-30
UPL 2018-05-31 2018-05-31
UPL 2018-06-01 2018-06-30
VEDL 2018-01-01 2018-01-30
VEDL 2018-02-01 2018-02-28
VEDL 2018-03-01 2018-03-30
VEDL 2018-03-31 2018-03-31
VEDL 2018-04-01 2018-04-30
VEDL 2018-05-01 2018-05-30
VEDL 2018-05-31 2018-05-31
VEDL 2018-06-01 2018-06-30
VGUARD 2018-01-01 2018-01-30
VGUARD 2018-02-01 2018-02-28
VGUARD 2018-03-01 2018-03-30
Commited candles: 8850000
VGUARD 2018-03-31 2018-03-31
VGUARD 2018-04-01 2018-04-30
VGUARD 2018-05-01 2018-05-30
VGUARD 2018-05-31 2018-05-31
VGUARD 2018-06-01 2018-06-30
VOLTAS 2018-01-01 2018-01-30
VOLTAS 2018-02-01 2018-02-28
VOLTAS 2018-03-01 2018-03-30
VOLTAS 2018-03-31 2018-03-31
VOLTAS 2018-04-01 2018-04-30
VOLTAS 2018-05-01 2018-05-30
VOLTAS 2018-05-31 2018-05-31
VOLTAS 2018-06-01 2018-06-30
WIPRO 2018-01-01 2018-01-30
WIPRO 2018-02-01 2018-02-28
WIPRO 2018-03-01 2018-03-30
WIPRO 2018-03-31 2018-03-31
WIPRO 2018-04-01 2018-04-30
WIPRO 2018-05-01 2018-05-30
WIPRO 2018-05-31 2018-05-31
WIPRO 2018-06-01 2018-06-30
WOCKPHARMA 2018-01-01 2018-01-30
WOCKPHARMA 2018-02-01 2018-02-28
WOCKPHARMA 2018-03-01 2018-03-30
WOCKPHARMA 2018-03-31 2018-03-31
WOCKPHARMA 2018-04-01 2018-04-30
WOCKPHARMA 2018-05-01 2018-05-30
WOCKPHARMA 2018-05-31 2018-05-31
WOCKPHARMA 2018-06-01 2018-06-30
Commited candles: 9000000
YESBANK 2018-01-01 2018-01-30
YESBANK 2018-02-01 2018-02-28
YESBANK 2018-03-01 2018-03-30
YESBANK 2018-03-31 2018-03-31
YESBANK 2018-04-01 2018-04-30
YESBANK 2018-05-01 2018-05-30
YESBANK 2018-05-31 2018-05-31
YESBANK 2018-06-01 2018-06-30
ZEEL 2018-01-01 2018-01-30
ZEEL 2018-02-01 2018-02-28
ZEEL 2018-03-01 2018-03-30
ZEEL 2018-03-31 2018-03-31
ZEEL 2018-04-01 2018-04-30
ZEEL 2018-05-01 2018-05-30
ZEEL 2018-05-31 2018-05-31
ZEEL 2018-06-01 2018-06-30
