Symbol,Open,High,Low,Last Traded Price,Change,%Change,Traded Volume(lacs),Traded Value(crs),52 Week High,52 Week Low,365 Days % Change,30 Days % Change
"ONGC","188.55","189.00","186.30","187.70","-0.55","-0.29","49.26","92.48","212.85","155.20","-0.13","4.16"
"DABUR","368.50","369.90","364.60","366.75","-1.10","-0.30","9.19","33.70","383.00","265.00","29.55","8.81"
"IDBI","67.10","67.85","66.10","66.80","-0.20","-0.30","63.73","42.66","91.50","50.20","-14.36","-9.91"
"RELCAPITAL","408.80","411.40","401.15","405.55","-1.30","-0.32","25.59","103.99","879.90","393.60","-40.82","-11.24"
"MCDOWELL-N","3,266.00","3,276.00","3,211.10","3,235.00","-10.45","-0.32","2.82","91.52","4,005.15","1,900.00","64.83","-3.44"
"POWERGRID","208.80","209.00","205.95","207.30","-0.70","-0.34","60.13","125.07","226.60","189.00","-1.52","5.26"
"BALKRISIND","1,209.75","1,209.75","1,181.55","1,199.00","-4.05","-0.34","1.77","21.19","1,352.20","712.50","-22.88","-6.16"
"BAJAJ-AUTO","2,845.00","2,845.00","2,801.00","2,817.00","-10.50","-0.37","2.87","80.77","3,468.35","2,694.50","-3.02","1.83"
"SYNDIBANK","51.55","51.70","50.20","51.30","-0.20","-0.39","35.79","18.23","95.90","50.20","-43.44","-15.35"
"CUMMINSIND","778.95","781.65","765.15","775.00","-3.15","-0.40","3.49","27.08","1,078.00","680.65","-27.09","2.51"
"LUPIN","761.50","761.50","743.55","752.40","-3.15","-0.42","11.89","89.22","1,327.00","727.10","-40.23","-4.72"
"L&TFH","179.00","179.80","177.00","178.00","-0.75","-0.42","17.49","31.19","213.85","119.35","32.24","3.52"
"MFSL","518.00","522.35","510.85","514.00","-2.15","-0.42","3.84","19.84","683.95","417.30","-20.08","12.26"
"TV18BRDCST","59.85","60.65","58.15","59.15","-0.25","-0.42","32.54","19.36","70.80","33.05","42.70","-12.76"
"PFC","83.60","83.70","82.30","82.85","-0.45","-0.54","32.66","27.09","168.40","82.30","-50.20","-6.17"
"NTPC","168.00","170.25","166.90","167.50","-1.00","-0.59","129.68","217.32","188.00","153.15","3.27","-0.53"
"DLF","215.00","217.65","210.50","212.00","-1.60","-0.75","51.24","110.27","273.85","153.00","6.32","-0.42"
"RECLTD","120.40","120.60","117.70","119.05","-0.90","-0.75","20.07","23.86","222.80","117.70","-45.51","-7.35"
"WOCKPHARMA","721.15","726.75","708.25","714.50","-5.50","-0.76","7.76","55.58","1,012.00","530.65","5.03","-7.13"
"INFRATEL","320.70","322.85","315.45","318.20","-2.50","-0.78","28.07","89.24","482.80","310.50","-13.21","-5.14"
"HEROMOTOCO","3,655.00","3,655.00","3,591.00","3,616.00","-30.00","-0.82","2.47","89.08","4,091.95","3,265.00","8.79","-2.75"
"TATAPOWER","81.80","82.40","80.80","81.30","-0.70","-0.85","40.97","33.48","101.80","75.80","-0.31","-6.66"
"TATAMOTORS","334.00","334.00","330.00","330.70","-2.90","-0.87","73.66","244.29","488.25","324.30","-23.50","-6.38"
"MINDTREE","1,026.80","1,028.00","995.95","1,006.90","-9.90","-0.97","15.12","152.52","1,101.20","439.05","101.12","21.64"
"RPOWER","36.05","36.50","35.45","35.75","-0.35","-0.97","38.55","13.83","65.20","34.60","-25.05","-13.86"
"REPCOHOME","589.90","598.80","581.00","584.00","-6.05","-1.03","1.60","9.44","924.00","510.00","-23.05","-5.03"
"NHPC","27.85","28.20","27.50","27.55","-0.30","-1.08","54.16","15.10","34.50","25.50","-11.41","-3.67"
"CANFINHOME","391.00","392.60","380.15","385.00","-4.35","-1.12","6.33","24.42","666.00","380.15","-31.37","-14.72"
"CGPOWER","80.00","80.25","78.10","78.40","-0.90","-1.13","6.73","5.32","99.15","67.50","-11.81","-3.74"
"DCBBANK","192.30","194.75","188.15","190.45","-2.30","-1.19","9.63","18.48","213.00","155.05","-0.39","10.95"
"SRTRANSFIN","1,492.10","1,505.65","1,473.40","1,481.55","-18.25","-1.22","15.69","234.66","1,668.75","917.70","46.46","-5.09"
"CANBK","241.25","250.20","241.25","245.50","-3.10","-1.25","94.01","231.40","463.70","225.20","-33.39","-14.56"
"ORIENTBANK","83.15","83.40","81.20","82.25","-1.05","-1.26","27.33","22.52","177.85","81.20","-52.50","-18.85"
"DISHTV","73.10","73.35","71.80","71.95","-0.95","-1.30","30.75","22.23","102.30","63.70","-21.96","-2.97"
"ALBK","45.70","46.45","45.05","45.40","-0.60","-1.30","42.26","19.32","92.40","43.30","-47.94","-17.15"
"APOLLOTYRE","288.60","289.65","274.10","279.85","-3.75","-1.32","37.76","106.32","307.25","217.25","20.81","-3.73"
"CADILAHC","394.70","398.35","390.05","393.35","-5.35","-1.34","3.24","12.73","560.00","362.00","-16.34","1.21"
"AMARAJABAT","874.95","875.60","850.85","860.00","-11.80","-1.35","5.01","43.10","941.00","664.55","-4.44","5.81"
"SOUTHBANK","25.75","26.15","25.40","25.45","-0.35","-1.36","199.52","51.52","34.75","22.25","-2.68","-0.59"
